"filename", "language", "JavaScript", "Python", "JSON", "comment", "blank", "total"
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\event-attachments.py", "Python", 0, 88, 0, 25, 23, 136
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\iframe-str.py", "Python", 0, 13, 0, 2, 5, 20
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\keyword-ratio.py", "Python", 0, 58, 0, 7, 9, 74
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\long-strings.py", "Python", 0, 25, 0, 43, 16, 84
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\shellcode.py", "Python", 0, 56, 0, 74, 43, 173
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\suspicious-str.py", "Python", 0, 18, 0, 5, 8, 31
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\prophiler\suspicious-tag.py", "Python", 0, 19, 0, 3, 8, 30
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\yyc\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\yyc\create_element.py", "Python", 0, 3, 0, 0, 1, 4
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\yyc\doc_rw.py", "Python", 0, 3, 0, 0, 1, 4
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\js\yyc\eval.py", "Python", 0, 3, 0, 0, 1, 4
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\country_code.py", "Python", 0, 21, 0, 3, 8, 32
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\ip.py", "Python", 0, 33, 0, 5, 10, 48
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\registration.py", "Python", 0, 41, 0, 3, 13, 57
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\relationship_ptr_a.py", "Python", 0, 97, 0, 6, 21, 124
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\subdomain.py", "Python", 0, 25, 0, 3, 8, 36
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\suspicious-pattern.py", "Python", 0, 40, 0, 3, 7, 50
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\static-features\url\prophiler\ttl-dns.py", "Python", 0, 67, 0, 6, 15, 88
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\utils\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\utils\parse.js", "JavaScript", 22, 0, 0, 6, 6, 34
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\utils\test.py", "Python", 0, 37, 0, 31, 14, 82
"c:\Users\top\Desktop\vscode\python\maliciousCode\src\utils\utils.py", "Python", 0, 94, 0, 18, 14, 126
"Total", "-", 22, 2176, 3, 883, 648, 3732
